Age,income,number_of_logins,purchase_count,last_login_days,subscription,will_churn
27.0,28278.0,25.0,5.0,16.0,Basic,0
28.0,38434.0,23.0,12.0,35.0,Basic,1
47.0,29165.0,2.0,2.0,14.0,Basic,1
52.0,28478.0,19.0,4.0,46.0,Premium,1
34.0,,20.0,5.0,1.0,Basic,0
47.0,69597.0,10.0,3.0,14.0,Premium,0
26.0,37156.0,14.0,2.0,23.0,Premium,0
36.0,30695.0,25.0,8.0,35.0,Basic,1
44.0,35328.0,19.0,5.0,41.0,Premium,1
,34116.0,3.0,11.0,15.0,Premium,0
25.0,55512.0,5.0,7.0,18.0,Premium,0
43.0,46319.0,13.0,6.0,14.0,Premium,0
24.0,47431.0,19.0,12.0,16.0,Basic,0
49.0,74735.0,10.0,11.0,45.0,Basic,1
40.0,32331.0,,1.0,21.0,Premium,0
37.0,33675.0,8.0,10.0,46.0,Premium,1
33.0,90435.0,14.0,11.0,30.0,Basic,1
36.0,43301.0,9.0,12.0,36.0,Premium,1
47.0,77350.0,13.0,4.0,9.0,Premium,0
25.0,31175.0,5.0,,41.0,Basic,1
47.0,33326.0,14.0,7.0,39.0,Premium,1
53.0,57953.0,19.0,1.0,44.0,Basic,1
54.0,59973.0,22.0,6.0,8.0,Premium,0
47.0,45730.0,16.0,1.0,47.0,Premium,1
52.0,48416.0,18.0,2.0,,Premium,1
52.0,51071.0,6.0,6.0,49.0,Basic,1
54.0,94514.0,2.0,10.0,21.0,Premium,0
21.0,39662.0,13.0,5.0,16.0,Basic,0
35.0,35322.0,4.0,12.0,32.0,Basic,1
54.0,41483.0,6.0,11.0,31.0,,1
36.0,94163.0,21.0,7.0,14.0,Basic,0
39.0,77296.0,23.0,11.0,24.0,Premium,0
53.0,84177.0,5.0,4.0,15.0,Basic,0
41.0,27757.0,20.0,9.0,15.0,Basic,0
20.0,,24.0,11.0,4.0,Basic,0
24.0,29117.0,12.0,2.0,33.0,Basic,1
37.0,88624.0,8.0,9.0,9.0,Premium,0
35.0,86993.0,15.0,4.0,7.0,Basic,0
47.0,71438.0,15.0,7.0,30.0,Basic,1
,32944.0,14.0,12.0,22.0,Basic,0
35.0,50112.0,8.0,9.0,29.0,Basic,1
47.0,49050.0,10.0,8.0,16.0,Basic,0
48.0,37833.0,3.0,11.0,35.0,Basic,1
25.0,55982.0,7.0,7.0,32.0,Premium,1
33.0,77565.0,3.0,,25.0,Basic,0
44.0,59760.0,16.0,5.0,28.0,Premium,1
29.0,49890.0,11.0,4.0,4.0,Basic,0
40.0,32492.0,3.0,10.0,31.0,Basic,1
23.0,91562.0,4.0,3.0,5.0,Basic,0
35.0,77923.0,,10.0,16.0,Basic,0
25.0,79948.0,23.0,10.0,37.0,Premium,1
36.0,51772.0,23.0,12.0,21.0,Basic,0
36.0,76876.0,6.0,11.0,42.0,Premium,1
49.0,66441.0,4.0,1.0,30.0,Basic,1
24.0,52938.0,18.0,5.0,,Premium,0
24.0,57018.0,13.0,5.0,11.0,Premium,0
54.0,64651.0,21.0,11.0,34.0,Basic,1
55.0,64240.0,23.0,2.0,9.0,Premium,0
27.0,39029.0,25.0,9.0,10.0,Premium,0
38.0,52607.0,24.0,6.0,14.0,,0
52.0,89032.0,10.0,1.0,6.0,Premium,0
37.0,30778.0,2.0,6.0,50.0,Basic,1
36.0,46178.0,25.0,8.0,36.0,Premium,1
55.0,26267.0,5.0,2.0,45.0,Basic,1
54.0,,13.0,10.0,36.0,Basic,1
47.0,41704.0,3.0,5.0,24.0,Basic,0
42.0,52535.0,23.0,4.0,43.0,Basic,1
42.0,78264.0,21.0,12.0,10.0,Basic,0
30.0,48206.0,15.0,1.0,12.0,Premium,0
,57527.0,10.0,3.0,45.0,Basic,1
44.0,30075.0,17.0,4.0,13.0,Premium,0
42.0,65001.0,9.0,4.0,2.0,Basic,0
45.0,68025.0,10.0,2.0,50.0,Premium,1
42.0,91768.0,14.0,11.0,35.0,Premium,1
21.0,40118.0,10.0,,38.0,Premium,1
22.0,39208.0,21.0,7.0,23.0,Premium,0
47.0,92033.0,5.0,7.0,37.0,Basic,1
36.0,30817.0,24.0,7.0,1.0,Basic,0
43.0,81531.0,4.0,11.0,22.0,Premium,0
27.0,64363.0,18.0,5.0,,Premium,1
40.0,77743.0,24.0,5.0,36.0,Basic,1
32.0,80108.0,23.0,7.0,44.0,Basic,1
39.0,78225.0,19.0,1.0,20.0,Premium,0
33.0,81346.0,20.0,10.0,42.0,Premium,1
49.0,82905.0,,11.0,14.0,Premium,0
30.0,36114.0,11.0,9.0,43.0,Premium,1
25.0,55784.0,23.0,5.0,15.0,Basic,0
29.0,28201.0,3.0,4.0,31.0,Basic,1
49.0,79321.0,22.0,10.0,13.0,Premium,0
51.0,77383.0,9.0,3.0,42.0,,1
26.0,80724.0,9.0,3.0,45.0,Premium,1
23.0,57662.0,5.0,8.0,9.0,Premium,0
53.0,66588.0,16.0,10.0,47.0,Premium,1
55.0,83446.0,7.0,12.0,31.0,Premium,1
36.0,,22.0,5.0,50.0,Premium,1
35.0,60992.0,16.0,2.0,46.0,Premium,1
35.0,60614.0,12.0,6.0,35.0,Basic,1
28.0,44769.0,9.0,7.0,45.0,Basic,1
33.0,33418.0,15.0,7.0,22.0,Premium,0
,33161.0,8.0,7.0,25.0,Basic,0
